1;0
2;0
3;0
4;4
5;6
6;15
7;19
8;32
9;36
10;54
11;59
12;81
13;88
14;114
15;123
16;154
17;161
18;196
19;206
20;245
21;256
22;301
23;312
24;360
25;373
26;425
27;438
28;496
29;510
30;570
31;587
32;651
33;669
34;739
35;756
36;830
37;849
38;927
39;946
40;1030
41;1049
42;1136
43;1159
44;1250
45;1273
46;1369
47;1392
48;1492
49;1517
50;1621
51;1647
52;1756
53;1782
54;1895
55;1923
56;2040
57;2069
58;2191
59;2220
60;2346
61;2376
62;2506
63;2539
64;2673
65;2706
66;2845
67;2879
68;3022
69;3057
70;3205
71;3239
72;3392
73;3429
74;3584
75;3623
76;3784
77;3822
78;3987
79;4027
80;4196
81;4237
82;4411
83;4452
84;4630
85;4673
86;4855
87;4899
88;5086
89;5130
90;5321
91;5366
92;5562
93;5609
94;5809
95;5856
96;6060
97;6109
98;6317
99;6367
