1;0
2;1
3;8
4;21
5;51
6;103
7;188
8;310
9;490
10;737
11;1068
12;1491
13;2037
14;2719
15;3560
16;4572
17;5796
18;7249
19;8960
20;10945
21;13255
22;15911
23;18948
24;22386
25;26286
26;30673
27;35588
28;41055
29;47145
30;53887
31;61328
32;69496
33;78472
34;88289
35;99000
36;110637
37;123291
38;136999
39;151820
40;167790
41;185010
42;203521
43;223388
44;244651
45;267421
46;291743
47;317688
48;345300
49;374700
50;405937
51;439088
52;474201
53;511407
54;550759
55;592340
56;636202
57;682486
58;731249
59;782580
60;836535
61;893265
62;952831
63;1015328
64;1080816
65;1149456
66;1221313
67;1296488
68;1375045
69;1457155
70;1542887
71;1632348
72;1725606
73;1822842
74;1924129
75;2029580
76;2139267
77;2253381
78;2371999
79;2495240
80;2623180
81;2756020
82;2893841
83;3036768
84;3184881
85;3338391
86;3497383
87;3661988
88;3832290
89;4008510
90;4190737
91;4379108
92;4573711
93;4774777
94;4982399
95;5196720
96;5417832
97;5645976
98;5881249
99;6123800
