1;0
2;5
3;12
4;27
5;43
6;65
7;88
8;113
9;139
10;175
11;208
12;250
13;288
14;336
15;380
16;435
17;485
18;545
19;603
20;667
21;730
22;805
23;872
24;949
25;1023
26;1110
27;1189
28;1279
29;1367
30;1463
31;1557
32;1658
33;1756
34;1867
35;1969
36;2083
37;2193
38;2316
39;2434
40;2559
41;2681
42;2812
43;2942
44;3080
45;3214
46;3360
47;3500
48;3650
49;3794
50;3953
51;4107
52;4267
53;4427
54;4596
55;4760
56;4934
57;5104
58;5287
59;5461
60;5647
61;5829
62;6023
63;6213
64;6408
65;6604
66;6810
67;7010
68;7221
69;7425
70;7644
71;7857
72;8077
73;8297
74;8528
75;8752
76;8983
77;9214
78;9455
79;9693
80;9939
81;10181
82;10434
83;10682
84;10938
85;11194
86;11460
87;11720
88;11989
89;12257
90;12535
91;12805
92;13089
93;13367
94;13655
95;13940
96;14235
97;14525
98;14824
99;15122
