1;0
2;2
3;19
4;65
5;160
6;332
7;612
8;1042
9;1664
10;2532
11;3699
12;5233
13;7198
14;9674
15;12736
16;16478
17;20986
18;26366
19;32715
20;40153
21;48788
22;58752
23;70164
24;83170
25;97900
26;114512
27;133147
28;153977
29;177154
30;202862
31;231264
32;262558
33;296918
34;334554
35;375651
36;420433
37;469096
38;521876
39;578980
40;640658
41;707128
42;778652
43;855459
44;937825
45;1025990
46;1120242
47;1220832
48;1328062
49;1442194
50;1563542
51;1692379
52;1829033
53;1973788
54;2126984
55;2288916
56;2459938
57;2640356
58;2830536
59;3030795
60;3241513
61;3463018
62;3695702
63;3939904
64;4196030
65;4464430
66;4745522
67;5039667
68;5347297
69;5668784
70;6004572
71;6355044
72;6720658
73;7101808
74;7498964
75;7912531
76;8342993
77;8790766
78;9256346
79;9740160
80;10242718
81;10764458
82;11305902
83;11867499
84;12449785
85;13053220
86;13678352
87;14325652
88;14995682
89;15688924
90;16405952
91;17147259
92;17913433
93;18704978
94;19522494
95;20366496
96;21237598
97;22136326
98;23063306
99;24019075
